name,scissor_kick_combined,xwoba,woba,babip,xslg,launch_angle,exit_velocity,hardhit_percent,k_percent,bb_percent
"Williamson, Ben",False,0.27,0.26,0.318,0.357,4.4,88.8,39.89637305699482,16.5,0.0
"Gurriel Jr., Lourdes",False,0.303,0.296,0.263,0.44,17.0,89.3,41.157556270096464,9.8,0.0
"Sánchez, Jesús",False,0.349,0.303,0.286,0.539,9.8,92.2,46.36363636363636,16.3,0.0
"Chisholm Jr., Jazz",False,0.373,0.346,0.271,0.621,17.8,90.7,48.554913294797686,23.5,0.0
"Adames, Willy",False,0.323,0.303,0.296,0.499,21.6,89.6,44.86692015209125,20.7,0.0
"Frazier, Adam",False,0.264,0.265,0.282,0.353,15.5,85.2,19.3717277486911,10.3,0.0
"Suárez, Eugenio",False,0.334,0.376,0.243,0.555,23.5,91.6,52.52918287937744,23.5,0.0
"Thomas, Alek",False,0.287,0.286,0.309,0.407,3.4,90.6,40.54054054054054,20.1,0.0
"Steer, Spencer",True,0.27,0.294,0.303,0.377,18.3,87.3,30.8,19.8,0.0
"Bogaerts, Xander",True,0.321,0.284,0.276,0.448,11.9,89.9,40.647482014388494,10.6,0.0
"Urías, Ramón",False,0.295,0.284,0.267,0.432,12.3,89.0,40.22346368715084,15.5,0.0
"Schanuel, Nolan",False,0.303,0.286,0.272,0.429,15.1,88.2,30.633802816901408,9.8,0.0
"McNeil, Jeff",False,0.307,0.311,0.247,0.438,17.0,88.2,34.40860215053764,6.5,0.0
"O'Hoppe, Logan",False,0.341,0.326,0.291,0.535,18.8,92.2,52.63157894736842,26.4,0.0
"Butler, Lawrence",False,0.3,0.315,0.305,0.447,8.2,91.7,45.73643410852713,23.2,0.0
"Langeliers, Shea",False,0.311,0.338,0.241,0.469,14.0,90.5,44.60093896713615,14.5,0.0
"Ozuna, Marcell",False,0.366,0.31,0.261,0.571,14.6,91.8,49.77777777777778,15.7,0.0
"Hoskins, Rhys",True,0.285,0.296,0.306,0.421,23.3,91.5,48.5207100591716,25.2,0.0
"Larnach, Trevor",False,0.306,0.294,0.282,0.45,11.5,90.8,43.49593495934959,17.7,0.0
"Lowe, Josh",False,0.334,0.296,0.295,0.467,9.8,90.5,45.80645161290322,20.0,0.0
"Wagaman, Eric",True,0.32,0.274,0.281,0.463,11.1,90.2,43.67816091954023,12.4,0.0
"Reynolds, Bryan",False,0.35,0.284,0.305,0.524,8.1,91.7,47.368421052631575,20.3,0.0
"Lowe, Nathaniel",True,0.315,0.303,0.284,0.455,10.7,90.3,42.00743494423792,19.8,0.0
"Ramírez, Agustín",False,0.365,0.314,0.26,0.559,9.1,91.9,49.596774193548384,13.3,0.0
"Story, Trevor",True,0.288,0.296,0.313,0.422,15.0,91.3,47.96747967479675,26.8,0.0
"Ward, Taylor",True,0.319,0.336,0.263,0.505,18.9,89.4,38.61788617886179,22.4,0.0
"Chapman, Matt",False,0.346,0.324,0.273,0.534,19.3,93.5,51.51515151515152,21.1,0.0
"Cruz, Oneil",False,0.37,0.313,0.279,0.571,10.7,97.0,59.60591133004927,23.2,0.0
"Rafaela, Ceddanne",True,0.313,0.297,0.28,0.477,11.1,91.3,46.32352941176471,16.6,0.0
"Robert Jr., Luis",False,0.339,0.294,0.283,0.515,19.6,90.0,43.29896907216495,20.4,0.0
"Lopez, Otto",False,0.337,0.284,0.269,0.501,10.0,89.5,39.688715953307394,13.1,0.0
"Lee, Brooks",True,0.287,0.277,0.267,0.412,13.3,88.7,39.11111111111112,12.8,0.0
"Cronenworth, Jake",False,0.271,0.283,0.283,0.391,16.4,89.5,39.361702127659576,19.3,0.0
"Martínez, Angel",True,0.265,0.289,0.285,0.37,19.1,88.3,31.98198198198198,17.8,0.0
"Jones, Nolan",False,0.324,0.266,0.313,0.48,14.5,92.3,51.53374233128834,22.0,0.0
"Friedl, TJ",False,0.261,0.279,0.272,0.358,14.5,87.4,33.21678321678322,14.4,0.0
