name,scissor_kick_combined,bat_speed,swing_length,attack_angle,attack_direction,swing_path_tilt
"Wagaman, Eric",True,72.7,7.1,6.455238212212269,-2.3596359371536924,27.913401289013432
"Reynolds, Bryan",False,72.4,6.9,13.23484030962896,1.2673768788905648,38.00478863288246
"Lowe, Nathaniel",True,72.7,7.2,6.457621711744219,7.931423180081202,29.902032359179795
"Ramírez, Agustín",False,74.9,7.5,7.333967885471523,-2.855338544021336,24.993705086185194
"Story, Trevor",True,70.9,7.3,10.736393856572231,-4.774633017790015,29.73637989520164
"Ward, Taylor",True,69.6,7.1,9.951774515093131,-3.435627710186743,32.02556873300851
"Chapman, Matt",False,74.8,7.5,5.261454833672738,-3.121673993003522,25.02999757732162
"Cruz, Oneil",False,78.6,7.8,9.552867717338891,-7.741296056412303,33.48211965798128
"Rafaela, Ceddanne",True,71.1,7.5,11.773876068495332,-0.7545816525633223,33.118978767295744
"Robert Jr., Luis",False,75.8,7.8,12.341105412198877,-5.619216976165683,36.56178572580738
"Lopez, Otto",False,71.8,6.8,8.004289160403719,-2.6589760066920647,30.157408646220325
"Lee, Brooks",True,69.7,7.2,10.353218215899728,-4.890769752797518,30.76972392849173
"Cronenworth, Jake",False,71.0,7.1,7.743779337999716,-2.06762154362137,30.9907861964734
"Martínez, Angel",True,70.1,7.4,12.279047994902246,-6.523518895594264,33.61890078052972
"Jones, Nolan",False,72.5,6.8,8.644071059352251,0.191950887811665,35.62135921577889
"Friedl, TJ",False,69.4,6.7,9.283398018736632,-7.018806659853013,28.28040149236985
"Soler, Jorge",False,74.0,7.7,8.424507456858189,-7.754127670308958,33.55880316512934
"Torkelson, Spencer",False,73.1,7.7,13.173123120955893,-7.859757670520093,38.45402404404567
"Betts, Mookie",False,68.8,7.1,9.842222583122403,-6.154890918493495,34.42417383035357
"Rutschman, Adley",True,70.3,6.9,9.324303879419118,-1.3465589461439391,34.64937590474378
"Walker, Christian",False,74.0,7.4,8.438221012730917,-3.57906147822201,29.011831723734847
"Arias, Gabriel",True,75.4,7.6,9.808293802436232,0.5474607297350298,29.203907874206774
"Norby, Connor",False,69.4,6.9,19.422075705957248,4.661539808481167,41.27765943286695
"Lee, Jung Hoo",False,68.7,7.6,6.412837422952022,-5.800140220375367,39.414783341772335
"Semien, Marcus",True,68.6,7.7,15.896867271227176,-4.304551896320302,34.612232040352865
"Allen, Nick",True,64.4,6.3,7.081886859676128,-0.4745038988672622,30.161884166686733
"McMahon, Ryan",False,74.0,7.5,13.426057039938929,0.1136517320567504,38.49015546671141
"Vargas, Miguel",False,70.6,7.6,12.44575388099275,-3.872474226123836,35.44001378554593
"Bell, Josh",False,72.7,8.0,10.263642971010864,-3.270865071106292,33.83167022494357
"Vientos, Mark",False,70.8,7.5,14.266974384806584,2.357964363378065,32.15055165014057
"Muncy, Max",False,71.3,7.0,17.85605835462733,-5.00593099982264,34.56146459488932
"Muncy, Max",False,73.1,7.3,9.258005910623528,-5.766894071422168,31.1256767919636
"Murphy, Sean",False,72.4,7.8,11.86805820420529,-3.5564231654823075,30.52296775488952
"Arenado, Nolan",True,71.7,8.5,10.610504230781537,-8.922761074585022,33.15188914833801
"Nootbaar, Lars",False,74.1,6.9,10.175782701125032,-4.494178049237439,28.30413954271057
"Baty, Brett",False,75.0,7.4,8.26953339346101,3.6217573632432334,35.18814619019583
"Sweeney, Trey",False,73.7,7.5,7.704822163325265,-3.1465594046467293,25.54036944358119
"Edman, Tommy",False,69.7,6.8,9.606786709210226,-0.3792310986866101,26.48924974032827
"Rice, Ben",False,73.9,7.4,10.922982645718246,-5.803655027658275,33.42713971709504
"Lindor, Francisco",False,70.7,7.5,10.94607676678022,-1.1879073061990382,33.91273586952284
"Burger, Jake",False,74.8,7.4,7.776657499687197,-3.864653041282688,24.99302061490945
"Wells, Austin",False,73.6,7.6,10.868076567115406,-5.602243224106863,32.44188497046451
"Stott, Bryson",False,69.1,7.2,7.158422930282755,3.193760946104222,33.23460872724961
"García, Adolis",False,72.4,7.6,9.051929393609624,-0.5157389598977571,28.316492021040894
"Santana, Carlos",True,71.3,7.6,12.594334264137522,-4.997817985974455,26.62499500377428
"Manzardo, Kyle",False,70.9,7.4,17.572776147698708,-0.8989518026247502,36.44372385305829
