name,scissor_kick_combined,xwoba,woba,babip,slg,xslg,attack_angle,attack_direction,swing_path_tilt,hardhit_percent,obp,k_percent,bb_percent,singles,doubles,triples,hrs,bat_speed,swing_length,pa,whiffs,swings,launch_angle,launch_speed,bip
"Lopez, Otto",False,0.316,0.357,0.365,0.507,0.445,4.702525181500213,-2.2121166481087764,29.364739012416614,42.13483146067416,0.332,12.9,0,93,27,7,9,69.7,6.7,410,153,759,7.3,88.8,357
"Bellinger, Cody",False,0.313,0.301,0.289,0.44,0.439,12.755920723472148,0.7685141849965413,33.979580578372975,37.58169934640523,0.268,14.6,0,62,21,3,11,68.1,7.8,362,154,757,17.7,89.1,309
"Caminero, Junior",True,0.344,0.364,0.291,0.567,0.524,8.090099093149934,-5.595403211435276,24.1065325281839,50.62893081761006,0.294,17.4,0,67,17,0,29,78.3,8.6,385,170,757,9.1,93.0,318
"Clement, Ernie",True,0.258,0.312,0.311,0.429,0.343,11.585198725029391,-4.8275060542867845,29.71562245910569,22.52747252747253,0.296,9.2,0,84,26,1,8,65.2,7.1,402,123,754,15.9,84.7,365
"Hoerner, Nico",True,0.292,0.264,0.266,0.357,0.379,5.059298470169275,-0.7242363448392024,32.092107895155834,28.534031413612563,0.256,7.0,0,77,23,1,5,66.9,7.2,414,88,750,13.0,86.1,385
"Smith, Cam",False,0.309,0.255,0.239,0.386,0.469,9.746111337199473,-3.595003129736193,33.124015035279264,44.881889763779526,0.216,21.9,0,44,13,1,13,75.4,7.6,329,216,748,12.1,89.5,256
"Rice, Ben",False,0.369,0.394,0.299,0.639,0.57,12.275410757122694,-4.475771699360322,33.743071934456744,48.0,0.299,21.0,0,52,18,3,31,70.8,7.6,348,187,743,13.7,92.1,275
"Duran, Ezequiel",True,0.298,0.328,0.329,0.486,0.417,5.340983656299794,5.170125352659978,28.485200765525,37.05179282868526,0.287,20.4,0,57,19,3,12,69.8,7.0,318,196,742,10.9,87.7,253
"Dingler, Dillon",True,0.368,0.359,0.3,0.563,0.558,12.35208389456391,-2.020236331327456,40.38139485493775,45.878136200716845,0.289,18.3,0,53,22,2,22,70.4,7.5,344,160,741,17.3,89.4,279
"Guerrero Jr., Vladimir",False,0.31,0.274,0.293,0.368,0.42,0.7413302511492361,-2.0030349840806263,28.232550721321903,43.730886850152906,0.269,12.1,0,77,17,0,6,74.8,7.5,372,146,739,8.2,90.3,327
"Meidroth, Chase",True,0.26,0.306,0.354,0.418,0.352,9.54256815808472,5.604848094713667,30.631703622059668,35.231316725978644,0.293,21.2,0,77,19,0,8,64.3,6.5,359,140,738,7.5,86.3,283
"Caglianone, Jac",True,0.344,0.321,0.316,0.486,0.525,9.766932270205425,-1.2493607443944552,30.45016983908831,55.18672199170125,0.27,25.2,0,52,17,2,16,75.7,7.9,322,220,731,7.9,92.9,241
