name,scissor_kick_combined,xwoba,woba,babip,xslg,launch_angle,exit_velocity,hardhit_percent,k_percent,bb_percent
"Bogaerts, Xander",True,0.278,0.243,0.254,0.389,5.5,88.4,40.19292604501607,16.6,0
"Muncy, Max",True,0.313,0.327,0.288,0.491,16.5,90.4,45.41832669322709,25.5,0
"Baty, Brett",False,0.285,0.25,0.285,0.41,12.0,89.6,39.83050847457627,24.1,0
"De La Cruz, Elly",True,0.368,0.369,0.337,0.551,9.6,93.7,52.25563909774437,20.7,0
"Springer, George",False,0.271,0.282,0.261,0.395,12.2,88.5,38.43283582089552,16.8,0
"Caballero, José",False,0.257,0.284,0.289,0.359,10.3,80.8,24.793388429752067,22.2,0
"McNeil, Jeff",False,0.271,0.254,0.276,0.357,13.7,85.9,31.428571428571427,11.9,0
"Church, Nathan",True,0.273,0.265,0.272,0.383,11.3,84.2,32.231404958677686,18.5,0
"O'Hearn, Ryan",False,0.302,0.327,0.309,0.435,14.0,89.3,43.47826086956522,19.1,0
"Marsee, Jakob",False,0.257,0.247,0.262,0.351,16.0,85.3,34.275618374558306,17.3,0
"Durbin, Caleb",False,0.26,0.299,0.267,0.346,11.1,82.5,27.67295597484277,9.1,0
"Ramírez, José",False,0.311,0.271,0.246,0.44,19.6,89.3,41.36690647482014,12.3,0
"Karros, Kyle",False,0.307,0.319,0.323,0.432,13.5,89.5,41.796875,16.6,0
"Buxton, Byron",False,0.338,0.36,0.282,0.541,20.9,90.3,47.3469387755102,22.0,0
"Mitchell, Garrett",True,0.339,0.323,0.376,0.504,2.2,92.6,51.141552511415526,27.7,0
"Sheets, Gavin",False,0.28,0.276,0.232,0.412,12.6,87.5,39.285714285714285,18.4,0
"Bauers, Jake",False,0.354,0.368,0.33,0.541,10.9,92.8,54.0650406504065,22.0,0
"Chourio, Jackson",True,0.338,0.348,0.328,0.523,11.8,92.2,47.63779527559055,20.6,0
"DeLauter, Chase",True,0.32,0.321,0.302,0.451,12.3,91.2,46.08150470219436,11.4,0
"Schanuel, Nolan",True,0.302,0.298,0.304,0.406,11.6,87.4,32.903225806451616,11.2,0
"Altuve, Jose",True,0.263,0.298,0.277,0.367,8.2,84.9,32.16783216783217,14.8,0
"France, Ty",False,0.305,0.344,0.327,0.455,13.0,92.2,48.660714285714285,22.9,0
"Steer, Spencer",True,0.316,0.297,0.271,0.481,17.0,89.4,41.32231404958678,20.4,0
"Soler, Jorge",False,0.27,0.27,0.274,0.404,14.5,88.5,42.57425742574257,29.6,0
"Simpson, Chandler",False,0.253,0.3,0.332,0.308,-1.0,81.1,13.94736842105263,5.5,0
"Peters, Tristan",False,0.274,0.302,0.313,0.382,14.5,83.0,29.761904761904763,16.2,0
"Crawford, Justin",False,0.267,0.285,0.327,0.34,2.4,85.0,33.85214007782101,14.8,0
"Keaschall, Luke",True,0.263,0.281,0.298,0.366,16.7,84.2,28.617363344051448,12.4,0
"Benintendi, Andrew",False,0.297,0.302,0.295,0.439,17.6,88.4,45.2991452991453,21.8,0
"Moreno, Gabriel",False,0.334,0.324,0.335,0.469,11.8,89.2,42.22222222222222,14.2,0
"Manzardo, Kyle",False,0.269,0.268,0.289,0.403,18.9,89.3,41.0,32.2,0
"Bleday, JJ",False,0.321,0.308,0.236,0.484,21.0,88.5,40.85106382978723,20.5,0
"Jung, Josh",True,0.341,0.348,0.343,0.479,11.8,90.6,48.25174825174825,11.2,0
"Taveras, Leody",True,0.258,0.269,0.294,0.36,11.0,83.0,31.601731601731604,21.3,0
"Yelich, Christian",False,0.266,0.269,0.311,0.389,2.3,87.9,42.00913242009132,27.2,0
"Johnston, Troy",True,0.285,0.292,0.332,0.385,12.5,89.1,37.69230769230769,16.8,0
"Ramos, Heliot",False,0.315,0.299,0.332,0.468,6.0,92.2,50.0,25.7,0
"Butler, Lawrence",False,0.279,0.245,0.259,0.393,4.8,88.8,44.95412844036697,22.0,0
"Bazzana, Travis",False,0.264,0.285,0.296,0.378,14.9,88.0,37.238493723849366,20.6,0
"Pederson, Joc",False,0.319,0.33,0.268,0.478,14.7,91.6,49.35064935064935,22.7,0
"Suárez, Eugenio",False,0.251,0.286,0.277,0.38,20.3,88.6,36.15819209039548,33.6,0
"Lewis, Royce",True,0.289,0.29,0.282,0.434,20.2,90.0,43.69369369369369,25.3,0
"Kwan, Steven",False,0.281,0.273,0.296,0.357,11.9,81.7,8.928571428571429,6.9,0
"Antonacci, Sam",False,0.311,0.303,0.31,0.431,10.2,87.0,36.101083032490976,13.9,0
"Hicks, Liam",False,0.267,0.316,0.279,0.358,14.0,84.6,28.31858407079646,7.6,0
"Murakami, Munetaka",False,0.336,0.362,0.295,0.562,15.2,94.1,58.85714285714285,34.2,0
"Peraza, Oswald",True,0.26,0.27,0.317,0.368,8.6,86.4,38.860103626943,27.9,0
"Chapman, Matt",False,0.249,0.277,0.293,0.345,11.3,88.2,36.12334801762114,20.2,0
"Goldschmidt, Paul",False,0.293,0.321,0.282,0.439,14.1,86.6,36.48648648648648,20.1,0
"Vargas, Ildemaro",True,0.3,0.301,0.288,0.399,8.8,87.1,35.548172757475086,8.2,0
"Pasquantino, Vinnie",False,0.289,0.265,0.268,0.418,19.2,88.7,39.83050847457627,13.8,0
"Canzone, Dominic",True,0.348,0.332,0.268,0.535,10.3,91.7,45.79831932773109,17.9,0
"Peña, Jeremy",False,0.322,0.342,0.337,0.449,12.2,88.3,41.17647058823529,19.6,0
"Wilson, Jacob",True,0.274,0.293,0.288,0.36,6.7,83.5,27.77777777777778,9.9,0
"Massey, Michael",False,0.282,0.299,0.287,0.408,14.9,88.5,40.3921568627451,14.7,0
"Grisham, Trent",False,0.321,0.281,0.225,0.486,17.3,90.6,44.72727272727273,11.0,0
"Basallo, Samuel",True,0.317,0.305,0.28,0.49,10.9,91.3,45.77114427860697,25.7,0
"Hernández, Teoscar",False,0.293,0.294,0.315,0.432,15.5,89.2,41.54589371980676,25.4,0
"Collins, Isaac",True,0.271,0.285,0.302,0.366,15.7,87.3,40.71146245059288,17.9,0
"Realmuto, J.T.",False,0.29,0.256,0.264,0.407,9.9,89.6,40.70796460176992,20.3,0
"Larnach, Trevor",False,0.298,0.326,0.319,0.425,13.8,87.1,35.77235772357724,15.8,0
"Lukes, Nathan",False,0.264,0.293,0.302,0.345,9.6,85.2,27.77777777777778,11.7,0
"Crawford, J.P.",True,0.285,0.262,0.244,0.403,12.4,87.1,35.47008547008547,16.1,0
"Raley, Luke",False,0.321,0.289,0.284,0.499,13.8,89.2,47.093023255813954,33.3,0
"Moniak, Mickey",False,0.286,0.363,0.306,0.452,21.7,89.3,41.95121951219512,23.8,0
"McKinstry, Zach",False,0.252,0.245,0.254,0.338,14.2,85.0,23.43096234309624,14.3,0
"Ewing, A.J.",True,0.309,0.307,0.338,0.441,10.8,88.6,43.26923076923077,21.2,0
"McLain, Matt",False,0.287,0.25,0.246,0.427,19.6,86.4,36.76470588235294,25.3,0
"Stephenson, Tyler",True,0.341,0.312,0.313,0.524,17.8,91.2,47.20812182741117,21.1,0
"Young, Jacob",False,0.295,0.286,0.271,0.412,11.1,87.0,33.20610687022901,14.1,0
"Thomas, Lane",True,0.29,0.292,0.279,0.412,18.7,89.5,42.05607476635514,19.2,0
"Hernández, Heriberto",False,0.322,0.302,0.265,0.498,13.0,91.7,49.75124378109453,25.8,0
"Lowe, Nathaniel",True,0.328,0.337,0.324,0.487,14.2,89.4,44.02173913043478,24.1,0
"Martínez, Angel",True,0.305,0.302,0.266,0.445,13.0,85.9,36.66666666666666,18.3,0
"Mead, Curtis",False,0.332,0.346,0.268,0.497,15.8,88.0,42.72727272727273,15.3,0
