name,scissor_kick_combined,pa,obp,slg,singles,doubles,triples,hrs,whiffs,swings,bip,singles_per_pa,doubles_per_pa,triples_per_pa,hrs_per_pa,singles_per_bip,doubles_per_bip,triples_per_bip,hrs_per_bip,whiff_percent,ops
"Witt Jr., Bobby",False,355,0.29,0.472,67,22,1,13,181,729,299,0.18873239436619718,0.061971830985915494,0.0028169014084507044,0.036619718309859155,0.22408026755852842,0.07357859531772576,0.0033444816053511705,0.043478260869565216,0.24828532235939643,0.762
"Naylor, Josh",False,381,0.266,0.367,79,14,0,8,134,728,339,0.2073490813648294,0.03674540682414698,0.0,0.02099737532808399,0.23303834808259588,0.04129793510324484,0.0,0.02359882005899705,0.18406593406593408,0.633
"Swanson, Dansby",False,336,0.23,0.435,45,13,3,16,220,728,264,0.13392857142857142,0.03869047619047619,0.008928571428571428,0.047619047619047616,0.17045454545454544,0.04924242424242424,0.011363636363636364,0.06060606060606061,0.3021978021978022,0.665
"Chisholm Jr., Jazz",False,327,0.242,0.448,47,14,2,16,228,726,234,0.1437308868501529,0.04281345565749235,0.0061162079510703364,0.04892966360856269,0.20085470085470086,0.05982905982905983,0.008547008547008548,0.06837606837606838,0.3140495867768595,0.69
"Perdomo, Geraldo",False,351,0.243,0.375,59,14,3,8,87,723,319,0.16809116809116809,0.039886039886039885,0.008547008547008548,0.022792022792022793,0.18495297805642633,0.0438871473354232,0.009404388714733543,0.025078369905956112,0.12033195020746888,0.618
"Raleigh, Cal",False,255,0.176,0.325,28,7,0,10,222,716,175,0.10980392156862745,0.027450980392156862,0.0,0.0392156862745098,0.16,0.04,0.0,0.05714285714285714,0.3100558659217877,0.501
"Arenado, Nolan",True,334,0.249,0.435,50,19,0,14,167,702,265,0.1497005988023952,0.05688622754491018,0.0,0.041916167664670656,0.18867924528301888,0.07169811320754717,0.0,0.052830188679245285,0.2378917378917379,0.6839999999999999
"Ward, Taylor",True,358,0.277,0.394,72,20,0,7,135,701,300,0.2011173184357542,0.055865921787709494,0.0,0.019553072625698324,0.24,0.06666666666666667,0.0,0.023333333333333334,0.19258202567760344,0.671
"Bohm, Alec",False,366,0.232,0.387,56,16,0,13,120,699,320,0.15300546448087432,0.04371584699453552,0.0,0.03551912568306011,0.175,0.05,0.0,0.040625,0.17167381974248927,0.619
"Buxton, Byron",False,312,0.279,0.581,45,16,1,25,218,699,243,0.14423076923076922,0.05128205128205128,0.003205128205128205,0.08012820512820513,0.18518518518518517,0.06584362139917696,0.00411522633744856,0.102880658436214,0.31187410586552217,0.86
"Contreras, William",False,366,0.281,0.41,78,15,0,10,135,696,325,0.21311475409836064,0.040983606557377046,0.0,0.0273224043715847,0.24,0.046153846153846156,0.0,0.03076923076923077,0.1939655172413793,0.6910000000000001
"Mullins, Cedric",False,306,0.21,0.367,43,6,2,12,166,696,243,0.14052287581699346,0.0196078431372549,0.006535947712418301,0.0392156862745098,0.17695473251028807,0.024691358024691357,0.00823045267489712,0.04938271604938271,0.23850574712643677,0.577
"Stowers, Kyle",False,291,0.248,0.472,37,19,3,13,252,694,197,0.12714776632302405,0.06529209621993128,0.010309278350515464,0.044673539518900345,0.18781725888324874,0.09644670050761421,0.015228426395939087,0.06598984771573604,0.3631123919308357,0.72
"O'Hearn, Ryan",False,323,0.291,0.494,64,13,0,17,154,691,259,0.19814241486068113,0.04024767801857585,0.0,0.05263157894736842,0.2471042471042471,0.05019305019305019,0.0,0.06563706563706563,0.22286541244573083,0.7849999999999999
"Steer, Spencer",True,323,0.252,0.447,51,14,0,16,174,689,256,0.15789473684210525,0.043343653250773995,0.0,0.04953560371517028,0.19921875,0.0546875,0.0,0.0625,0.2525399129172714,0.6990000000000001
