name,scissor_kick_combined,bat_speed,swing_length,attack_angle,attack_direction,swing_path_tilt
"Bleday, JJ",False,71.6,7.2,12.264927527781785,-7.652780550435439,32.54471794135862
"Ramos, Heliot",False,70.6,6.7,6.782017486162898,7.312775821983566,33.51333989108445
"Antonacci, Sam",False,68.1,6.6,8.117112128798537,9.232702619182875,38.77158737260224
"Bazzana, Travis",False,67.2,6.9,9.953086571842698,-1.2118278542019052,33.16421459624674
"Butler, Lawrence",False,71.8,6.9,4.77143963122113,6.116218818947303,31.332838199213096
"Hicks, Liam",False,66.1,6.7,6.012346422303459,-4.63194339206104,31.74910748002232
"Vargas, Ildemaro",True,68.5,7.3,4.763008808668604,-5.142363419315682,22.63787002362432
"Mead, Curtis",False,70.4,7.0,4.789874218877092,-3.8552259017323856,31.002740158794392
"Suárez, Eugenio",False,68.8,7.7,17.19994699895283,-3.147991598500593,39.11295974143772
"Goldschmidt, Paul",False,69.9,7.5,10.863369794299851,4.4887581601161655,32.45872975734844
"Soto, Juan",False,69.6,7.0,12.282782003219497,2.459469615373797,28.13299722123314
"Kwan, Steven",False,60.5,6.1,1.22204374355437,-1.1858954740903282,35.80141812426677
"Lewis, Royce",True,72.3,8.0,10.596042544047394,-8.217451657106176,25.91494496742048
"Murakami, Munetaka",False,73.3,7.8,17.880619844313053,0.8263479170039207,35.31760309611867
"Schneemann, Daniel",True,69.5,7.0,14.181439320725255,0.1602006045099884,33.026492356467095
"Collins, Isaac",True,70.2,6.7,3.8095017710088666,-6.783396613298055,28.5308755278602
"Larnach, Trevor",False,69.8,7.1,6.924339251439707,-12.060137447317445,33.16039058461151
"Wilson, Jacob",True,62.5,6.1,2.7333768335149142,0.928535278192897,34.60625735151408
"Realmuto, J.T.",False,71.6,7.4,11.342676418094396,0.3355296211918104,32.55754615039985
"Grisham, Trent",False,68.6,7.3,13.31782064819424,-0.155182178212378,28.340774524323592
"Massey, Michael",False,69.8,7.0,14.48895092319998,-1.1147166891844436,33.540626569371504
"McLain, Matt",False,69.6,6.8,9.587589001047432,1.7935318315600248,30.65182061699419
"Alexander, Blaze",False,70.0,7.2,6.763765425044373,6.77760091979515,36.80794841977684
"Vierling, Matt",False,69.7,7.4,8.121546875758332,-0.3122312535056723,31.121138571955345
"Canzone, Dominic",True,72.9,7.3,12.688546039488442,-1.6882202788724054,31.983248604429985
"Thomas, Lane",True,70.5,6.8,8.079985261695514,-1.435026696851872,26.97893248072885
"McKinstry, Zach",False,66.8,6.6,7.362180133422666,1.400601729286368,37.72979536437447
"Hernández, Teoscar",False,70.6,7.7,10.15501491527151,2.7383753436502807,33.394179032340325
"Moniak, Mickey",False,72.7,7.8,13.665993803226572,-6.861246538019278,33.321020321696736
"Young, Jacob",False,66.4,6.9,10.39651474970618,0.4816943876385727,30.99963067217052
"Martínez, Angel",True,68.2,7.1,8.380954015583544,-7.4555691437779,34.6528275077258
"Carpenter, Kerry",False,70.1,7.3,17.399358941820335,0.0817780894975989,35.29416487766726
"Lukes, Nathan",False,65.5,6.3,5.426259597477465,9.729417503725092,30.74571244756777
"Hoskins, Rhys",True,69.5,8.2,16.24172655598362,-5.115871706771615,33.70895050714444
"Peña, Jeremy",False,70.7,7.3,10.75513275799442,-6.262136405010361,30.242116488190643
"Cruz, Oneil",False,76.6,7.5,7.126826595618783,-5.200485931641764,33.14462247435355
"Andujar, Miguel",False,69.4,7.5,6.940480426256894,-2.393731001222964,26.03535129285609
"Stephenson, Tyler",True,69.2,7.4,11.850252656208006,1.688274021408272,37.683596693481775
"Ozuna, Marcell",False,71.9,7.3,14.519440750184296,-4.00083357225801,36.40481299793339
"Keith, Colt",False,70.2,6.8,9.306443477778052,-0.8597301805402509,31.49114618793746
"Vientos, Mark",False,71.8,7.5,12.811884475281373,0.8323634181253265,31.714248788841537
"Ewing, A.J.",True,67.3,6.4,7.425419453884648,-0.1390793681566607,37.50859689274765
"Griffin, Konnor",True,72.7,7.6,8.463223474954273,0.1556114396515637,33.06800184058305
"Alvarez, Francisco",False,72.5,7.2,9.779792613227892,0.3954668884252729,29.22559474438825
"Kelly, Carson",False,69.7,6.8,9.24442758187485,-2.4405745290458745,32.93416688269069
"García, Adolis",True,69.9,7.6,9.06616349060499,0.476468678220139,29.03378613758185
